name,CMC,Type,Color,Color Category,Oracle Text,tags,MTGO ID,Power,Toughness
Troll of Khazad-dûm,6,Creature — Troll,B,Black,"This creature can't be blocked except by three or more creatures.\nSwampcycling {1} ({1}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)",,,6,5
Gurmag Angler,7,Creature — Zombie Fish,B,Black,Delve (Each card you exile from your graveyard while casting this spell pays for {1}.),,,5,5
Disfigure,1,Instant,B,Black,Target creature gets -2/-2 until end of turn.,,,,
Feign Death,1,Instant,B,Black,"Until end of turn, target creature gains ""When this creature dies, return it to the battlefield tapped under its owner's control with a +1/+1 counter on it.""",,,,
Tragic Slip,1,Instant,B,Black,Target creature gets -1/-1 until end of turn.\nMorbid — That creature gets -13/-13 until end of turn instead if a creature died this turn.,,,,
Undying Malice,1,Instant,B,Black,"Until end of turn, target creature gains ""When this creature dies, return it to the battlefield tapped under its owner's control with a +1/+1 counter on it.""",,,,
Vendetta,1,Instant,B,Black,Destroy target nonblack creature. It can't be regenerated. You lose life equal to that creature's toughness.,,,,
Village Rites,1,Instant,B,Black,"As an additional cost to cast this spell, sacrifice a creature.\nDraw two cards.",,,,
Candy Grapple,2,Instant,B,Black,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)\nTarget creature gets -3/-3 until end of turn. If this spell was bargained, that creature gets -5/-5 until end of turn instead.",,,,
Cast Down,2,Instant,B,Black,Destroy target nonlegendary creature.,,,,
Death Denied,2,Instant — Arcane,B,Black,Return X target creature cards from your graveyard to your hand.,,,,
Doom Blade,2,Instant,B,Black,Destroy target nonblack creature.,,,,
Go for the Throat,2,Instant,B,Black,Destroy target nonartifact creature.,,,,
Wither and Bloom,2,Instant,B,Black,"Target creature gets -3/-3 until end of turn.\n{1}{B}, Exile this card from your graveyard: Put a +1/+1 counter on target creature you control. Activate only as a sorcery.",,,,
Unearth,1,Sorcery,B,Black,"Return target creature card with mana value 3 or less from your graveyard to the battlefield.\nCycling {2} ({2}, Discard this card: Draw a card.)",,,,
Feed the Swarm,2,Sorcery,B,Black,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,,,,
Night's Whisper,2,Sorcery,B,Black,You draw two cards and you lose 2 life.,,,,
Ransack the Lab,2,Sorcery,B,Black,Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.,,,,
Ashes to Ashes,3,Sorcery,B,Black,Exile two target nonartifact creatures. Ashes to Ashes deals 5 damage to you.,,,,
Arms of Hadar,4,Sorcery,B,Black,Creatures target player controls get -2/-2 until end of turn.,,,,
Dread Return,4,Sorcery,B,Black,Return target creature card from your graveyard to the battlefield.\nFlashback—Sacrifice three creatures. (You may cast this card from your graveyard for its flashback cost. Then exile it.),,,,
Blood Fountain,1,Artifact,B,Black,"When this artifact enters, create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."")\n{3}{B}, {T}, Sacrifice this artifact: Return up to two target creature cards from your graveyard to your hand.",,,,
Grim Bauble,1,Artifact,B,Black,"When this artifact enters, target creature an opponent controls gets -2/-2 until end of turn.\n{2}{B}, {T}, Sacrifice this artifact: Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",,,,
Tithing Blade,2,Artifact,B,Black,"At the beginning of your upkeep, each opponent loses 1 life and you gain 1 life.",,,,
Clawing Torment,1,Enchantment — Aura,B,Black,"Enchant artifact or creature\nAs long as enchanted permanent is a creature, it gets -1/-1 and can't block.\nEnchanted permanent has ""At the beginning of your upkeep, you lose 1 life.""",,,,
Gift of Fangs,1,Enchantment — Aura,B,Black,"Enchant creature\nEnchanted creature gets +2/+2 as long as it's a Vampire. Otherwise, it gets -2/-2.",,,,
Tortured Existence,1,Enchantment,B,Black,"{B}, Discard a creature card: Return target creature card from your graveyard to your hand.",,,,
Pestilence,4,Enchantment,B,Black,"At the beginning of the end step, if no creatures are on the battlefield, sacrifice this enchantment.\n{B}: This enchantment deals 1 damage to each creature and each player.",,,,
Witch's Cottage,0,Land — Swamp,,Lands,"({T}: Add {B}.)\nThis land enters tapped unless you control three or more other Swamps.\nWhen this land enters untapped, you may put target creature card from your graveyard on top of your library.",,,,
Clockwork Percussionist,1,Artifact Creature — Monkey Toy,R,Red,"Haste\nWhen this creature dies, exile the top card of your library. You may play it until the end of your next turn.",,,1,1
Fanatical Firebrand,1,Creature — Goblin Pirate,R,Red,"Haste (This creature can attack and {T} as soon as it comes under your control.)\n{T}, Sacrifice this creature: It deals 1 damage to any target.",,,1,1
Frenzied Goblin,1,Creature — Goblin Berserker,R,Red,"Whenever this creature attacks, you may pay {R}. If you do, target creature can't block this turn.",,,1,1
Goblin Motivator,1,Creature — Goblin Warrior,R,Red,{T}: Target creature gains haste until end of turn. (It can attack and {T} this turn.),,,1,1
Grim Initiate,1,Creature — Zombie Warrior,R,Red,"First strike\nWhen this creature dies, amass Zombies 1. (Put a +1/+1 counter on an Army you control. It's also a Zombie. If you don't control an Army, create a 0/0 black Zombie Army creature token first.)",,,1,1
Harried Spearguard,1,Creature — Human Soldier,R,Red,"Haste\nWhen this creature dies, create a 1/1 black Rat creature token with ""This token can't block.""",,,1,1
Jackal Pup,1,Creature — Jackal,R,Red,"Whenever this creature is dealt damage, it deals that much damage to you.",,,2,1
Monastery Swiftspear,1,Creature — Human Monk,R,Red,"Haste\nProwess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",,,1,2
Scorched Rusalka,1,Creature — Spirit,R,Red,"{R}, Sacrifice a creature: This creature deals 1 damage to target player or planeswalker.",,,1,1
Aether Chaser,2,Creature — Human Artificer,R,Red,"First strike\nWhen this creature enters, you get {E}{E} (two energy counters).\nWhenever this creature attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",,,2,1
Dark-Dweller Oracle,2,Creature — Goblin Shaman,R,Red,"{1}, Sacrifice a creature: Exile the top card of your library. You may play that card this turn. (You still pay its costs. You can play a land this way only if you have an available land play remaining.)",,,2,2
Firebrand Archer,2,Creature — Human Archer,R,Red,"Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.",,,2,1
Fireslinger,2,Creature — Human Wizard,R,Red,{T}: This creature deals 1 damage to any target and 1 damage to you.,,,1,1
Goblin Bushwhacker,1,Creature — Goblin Warrior,R,Red,"Kicker {R} (You may pay an additional {R} as you cast this spell.)\nWhen this creature enters, if it was kicked, creatures you control get +1/+0 and gain haste until end of turn.",,,1,1
Hobblefiend,2,Creature — Devil,R,Red,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\n{1}, Sacrifice another creature: Put a +1/+1 counter on this creature.",,,2,1
Mayhem Patrol,2,Creature — Devil Warrior,R,Red,"Menace (This creature can't be blocked except by two or more creatures.)\nWhenever this creature attacks, target creature gets +1/+0 until end of turn.\nBlitz {1}{R} (If you cast this spell for its blitz cost, it gains haste and ""When this creature dies, draw a card."" Sacrifice it at the beginning of the next end step.)",,,1,2
Mogg War Marshal,2,Creature — Goblin Warrior,R,Red,"Echo {1}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen this creature enters or dies, create a 1/1 red Goblin creature token.",,,1,1
Orcish Hellraiser,2,Creature — Orc Warrior,R,Red,"Echo {R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen this creature dies, it deals 2 damage to target player or planeswalker.",,,3,2
Red Herring,2,Artifact Creature — Clue Fish,R,Red,"Haste\nThis creature attacks each combat if able.\n{2}, Sacrifice this creature: Draw a card.",,,2,2
Rimrock Knight,2,Instant — Adventure,R,Red,Target creature gets +2/+0 until end of turn. (Then exile this card. You may cast the creature later from exile.),,,,
Thriving Grubs,2,Creature — Gremlin,R,Red,"When this creature enters, you get {E}{E} (two energy counters).\nWhenever this creature attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it.",,,2,1
Underworld Rage-Hound,2,Creature — Elemental Dog,R,Red,"This creature attacks each combat if able.\nEscape—{3}{R}, Exile three other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)\nThis creature escapes with a +1/+1 counter on it.",,,3,1
Volatile Wanderglyph,2,Artifact Creature — Golem,R,Red,"Whenever this creature becomes tapped, you may discard a card. If you do, draw a card.",,,2,2
Yavimaya Steelcrusher,2,Creature — Ape Warrior,R,Red,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)\n{1}, Sacrifice this creature: Destroy target artifact.",,,2,2
Bogardan Dragonheart,3,Creature — Human Shaman,R,Red,"Sacrifice another creature: Until end of turn, this creature becomes a Dragon with base power and toughness 4/4, flying, and haste.",,,2,2
Guttersnipe,3,Creature — Goblin Shaman,R,Red,"Whenever you cast an instant or sorcery spell, this creature deals 2 damage to each opponent.",,,2,2
Hissing Iguanar,3,Creature — Lizard,R,Red,"Whenever another creature dies, you may have this creature deal 1 damage to target player or planeswalker.",,,3,1
Molten Gatekeeper,3,Artifact Creature — Golem,R,Red,"Whenever another creature you control enters, this creature deals 1 damage to each opponent.\nUnearth {R} ({R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",,,2,3
Spelleater Wolverine,3,Creature — Wolverine,R,Red,This creature has double strike as long as there are three or more instant and/or sorcery cards in your graveyard.,,,3,2
Tuskeri Firewalker,3,Creature — Human Berserker,R,Red,Boast — {1}: Exile the top card of your library. You may play that card this turn. (Activate only if this creature attacked this turn and only once each turn.),,,3,2
Witty Roastmaster,3,Creature — Devil Citizen,R,Red,"Alliance — Whenever another creature you control enters, this creature deals 1 damage to each opponent.",,,3,2
Ardent Elementalist,4,Creature — Human Shaman,R,Red,"When this creature enters, return target instant or sorcery card from your graveyard to your hand.",,,2,1
Beetleback Chief,4,Creature — Goblin Warrior,R,Red,"When this creature enters, create two 1/1 red Goblin creature tokens.",,,2,2
Scholar of Combustion,4,Creature — Human Wizard,R,Red,"When this creature enters, exile up to one target instant or sorcery card from your graveyard. You may cast that card until the end of your next turn. (You still pay its costs. Timing rules still apply.)",,,3,2
Thriving Skyclaw,4,Creature — Cat Dragon,R,Red,"Flying\nWhen this creature enters, you get {E}{E}{E} (three energy counters).\nWhenever this creature attacks, you may pay {E}{E}{E}. If you do, put a +1/+1 counter on it.",,,3,2
Wildfire Elemental,4,Creature — Elemental,R,Red,"Whenever an opponent is dealt noncombat damage, creatures you control get +1/+0 until end of turn.",,,3,3
Oliphaunt,6,Creature — Elephant,R,Red,"Trample\nWhenever this creature attacks, another target creature you control gets +2/+0 and gains trample until end of turn.\nMountaincycling {1} ({1}, Discard this card: Search your library for a Mountain card, reveal it, put it into your hand, then shuffle.)",,,6,4
Burst Lightning,1,Instant,R,Red,"Kicker {4} (You may pay an additional {4} as you cast this spell.)\nBurst Lightning deals 2 damage to any target. If this spell was kicked, it deals 4 damage instead.",,,,
Galvanic Discharge,1,Instant,R,Red,"Choose target creature or planeswalker. You get {E}{E}{E} (three energy counters), then you may pay any amount of {E}. Galvanic Discharge deals that much damage to that permanent.",,,,
Lightning Bolt,1,Instant,R,Red,Lightning Bolt deals 3 damage to any target.,,,,
Abrade,2,Instant,R,Red,Choose one —\n• Abrade deals 3 damage to target creature.\n• Destroy target artifact.,,,,
Improvised Club,2,Instant,R,Red,"As an additional cost to cast this spell, sacrifice an artifact or creature.\nImprovised Club deals 4 damage to any target.",,,,
Incinerate,2,Instant,R,Red,Incinerate deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.,,,,
Lightning Strike,2,Instant,R,Red,Lightning Strike deals 3 damage to any target.,,,,
Searing Spear,2,Instant,R,Red,Searing Spear deals 3 damage to any target.,,,,
Ambitious Assault,3,Instant,R,Red,"Creatures you control get +2/+0 until end of turn. If you control a modified creature, draw a card. (Equipment, Auras you control, and counters are modifications.)",,,,
Gnawing Crescendo,3,Instant,R,Red,"Creatures you control get +2/+0 until end of turn. Whenever a nontoken creature you control dies this turn, create a 1/1 black Rat creature token with ""This token can't block.""",,,,
Goblin Surprise,3,Instant,R,Red,Choose one —\n• Creatures you control get +2/+0 until end of turn.\n• Create two 1/1 red Goblin creature tokens.,,,,
Sulfurous Blast,4,Instant,R,Red,"Sulfurous Blast deals 2 damage to each creature and each player. If you cast this spell during your main phase, Sulfurous Blast deals 3 damage to each creature and each player instead.",,,,
Fireblast,6,Instant,R,Red,You may sacrifice two Mountains rather than pay this spell's mana cost.\nFireblast deals 4 damage to any target.,,,,
Chain Lightning,1,Sorcery,R,Red,"Chain Lightning deals 3 damage to any target. Then that player or that permanent's controller may pay {R}{R}. If the player does, they may copy this spell and may choose a new target for that copy.",,,,
Fireball,1,Sorcery,R,Red,"This spell costs {1} more to cast for each target beyond the first.\nFireball deals X damage divided evenly, rounded down, among any number of targets.",,,,
Firebolt,1,Sorcery,R,Red,Firebolt deals 2 damage to any target.\nFlashback {4}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.),,,,
Flame Slash,1,Sorcery,R,Red,Flame Slash deals 4 damage to target creature.,,,,
Reckless Charge,1,Sorcery,R,Red,Target creature gets +3/+0 and gains haste until end of turn.\nFlashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.),,,,
Forbidden Friendship,2,Sorcery,R,Red,Create a 1/1 red Dinosaur creature token with haste and a 1/1 white Human Soldier creature token.,,,,
Rally at the Hornburg,2,Sorcery,R,Red,Create two 1/1 white Human Soldier creature tokens. Humans you control gain haste until end of turn.,,,,
Reckless Impulse,2,Sorcery,R,Red,"Exile the top two cards of your library. Until the end of your next turn, you may play those cards.",,,,
Rolling Thunder,2,Sorcery,R,Red,Rolling Thunder deals X damage divided as you choose among any number of targets.,,,,
Wrangle,2,Sorcery,R,Red,Gain control of target creature with power 4 or less until end of turn. Untap that creature. It gains haste until end of turn.,,,,
Wrenn's Resolve,2,Sorcery,R,Red,"Exile the top two cards of your library. Until the end of your next turn, you may play those cards.",,,,
Hordeling Outburst,3,Sorcery,R,Red,Create three 1/1 red Goblin creature tokens.,,,,
Rift Bolt,3,Sorcery,R,Red,"Rift Bolt deals 3 damage to any target.\nSuspend 1—{R} (Rather than cast this card from your hand, you may pay {R} and exile it with a time counter on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.)",,,,
Skewer the Critics,3,Sorcery,R,Red,Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)\nSkewer the Critics deals 3 damage to any target.,,,,
Barbed Batterfist,2,Artifact — Equipment,R,Red,"For Mirrodin! (When this Equipment enters, create a 2/2 red Rebel creature token, then attach this to it.)\nEquipped creature gets +1/-1.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,,
Raid Bombardment,3,Enchantment,R,Red,"Whenever a creature you control with power 2 or less attacks, this enchantment deals 1 damage to the player or planeswalker that creature is attacking.",,,,
Teetering Peaks,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, target creature gets +2/+0 until end of turn.\n{T}: Add {R}.",,,,
Arbor Elf,1,Creature — Elf Druid,G,Green,{T}: Untap target Forest.,,,1,1
Elvish Mystic,1,Creature — Elf Druid,G,Green,{T}: Add {G}.,,,1,1
Experiment One,1,Creature — Human Ooze,G,Green,"Evolve (Whenever a creature you control enters, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)\nRemove two +1/+1 counters from this creature: Regenerate it. (The next time this creature would be destroyed this turn, instead tap it, remove it from combat, and heal all damage on it.)",,,1,1
Llanowar Elves,1,Creature — Elf Druid,G,Green,{T}: Add {G}.,,,1,1
Nyxborn Hydra,1,Enchantment Creature — Hydra,G,Green,"Bestow {X}{G}{G} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)\nReach, trample\nThis permanent enters with X +1/+1 counters on it.\nEnchanted creature gets +1/+1 for each +1/+1 counter on this Aura and has reach and trample.",,,0,1
Basking Broodscale,2,Creature — Eldrazi Lizard,G,Green,"Devoid (This card has no color.)\n{1}{G}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)\nWhenever one or more +1/+1 counters are put on this creature, you may create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this token: Add {C}.""",,,2,2
Gnarlid Colony,2,Creature — Beast,G,Green,"Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)\nIf this creature was kicked, it enters with two +1/+1 counters on it.\nEach creature you control with a +1/+1 counter on it has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)",,,2,2
Jade Avenger,2,Creature — Frog Samurai,G,Green,"Bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.)",,,2,2
Mother Bear,2,Creature — Bear,G,Green,"{3}{G}{G}, Exile this card from your graveyard: Create two 2/2 green Bear creature tokens. Activate only as a sorcery.",,,2,2
Nest Invader,2,Creature — Eldrazi Drone,G,Green,"When this creature enters, create a 0/1 colorless Eldrazi Spawn creature token. It has ""Sacrifice this token: Add {C}.""",,,2,2
Sakura-Tribe Elder,2,Creature — Snake Shaman,G,Green,"Sacrifice this creature: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.",,,1,1
Voracious Varmint,2,Creature — Varmint,G,Green,"Vigilance\n{1}, Sacrifice this creature: Destroy target artifact or enchantment.",,,2,2
Wall of Roots,2,Creature — Plant Wall,G,Green,Defender\nPut a -0/-1 counter on this creature: Add {G}. Activate only once each turn.,,,0,5
Wary Thespian,2,Creature — Cat Druid,G,Green,"When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,,3,1
Werebear,2,Creature — Human Bear Druid,G,Green,{T}: Add {G}.\nThreshold — This creature gets +3/+3 as long as seven or more cards are in your graveyard.,,,1,1
Contagious Vorrac,3,Creature — Phyrexian Boar Beast,G,Green,"When this creature enters, look at the top four cards of your library. You may reveal a land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. If you didn't put a card into your hand this way, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",,,3,3
Eldrazi Repurposer,3,Creature — Eldrazi Drone,G,Green,"Devoid (This card has no color.)\nWhen you cast this spell and when this creature dies, create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this token: Add {C}.""",,,3,3
Evolution Witness,3,Creature — Elf Shaman Mutant,G,Green,"{1}{G}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.)\nWhenever one or more +1/+1 counters are put on this creature, return target permanent card from your graveyard to your hand.",,,2,1
Jewel Thief,3,Creature — Cat Rogue,G,Green,"Vigilance, trample\nWhen this creature enters, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",,,3,3
Llanowar Visionary,3,Creature — Elf Druid,G,Green,"When this creature enters, draw a card.\n{T}: Add {G}.",,,2,2
Phantom Tiger,3,Creature — Cat Spirit,G,Green,"This creature enters with two +1/+1 counters on it.\nIf damage would be dealt to this creature, prevent that damage. Remove a +1/+1 counter from this creature.",,,1,0
Tuskguard Captain,3,Creature — Human Warrior,G,Green,"Outlast {G} ({G}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)\nEach creature you control with a +1/+1 counter on it has trample.",,,2,3
Yavimaya Elder,3,Creature — Human Druid,G,Green,"When this creature dies, you may search your library for up to two basic land cards, reveal them, put them into your hand, then shuffle.\n{2}, Sacrifice this creature: Draw a card.",,,2,1
Bannerhide Krushok,4,Creature — Beast,G,Green,"Trample\nReinforce 2—{1}{G} ({1}{G}, Discard this card: Put two +1/+1 counters on target creature.)\nScavenge {5}{G}{G} ({5}{G}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)",,,4,4
Blastoderm,4,Creature — Beast,G,Green,"Shroud (This creature can't be the target of spells or abilities.)\nFading 3 (This creature enters with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)",,,5,5
Bloom Hulk,4,Creature — Plant Elemental,G,Green,"When this creature enters, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",,,4,4
Hazard of the Dunes,4,Creature — Wurm,G,Green,"Trample, reach\nExhaust — {6}{G}: Put three +1/+1 counters on this creature. (Activate each exhaust ability only once.)",,,4,4
Jade Guardian,4,Creature — Merfolk Shaman,G,Green,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)\nWhen this creature enters, put a +1/+1 counter on target Merfolk you control.",,,2,2
Sarulf's Packmate,4,Creature — Wolf,G,Green,"When this creature enters, draw a card.\nForetell {1}{G} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",,,3,3
Treetop Snarespinner,4,Creature — Spider,G,Green,Reach (This creature can block creatures with flying.)\nDeathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\n{2}{G}: Put a +1/+1 counter on target creature you control. Activate only as a sorcery.,,,1,4
Urban Daggertooth,4,Creature — Dinosaur,G,Green,"Vigilance\nEnrage — Whenever this creature is dealt damage, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",,,4,3
Conclave Naturalists,5,Creature — Dryad,G,Green,"When this creature enters, you may destroy target artifact or enchantment.",,,4,4
Owlbear,5,Creature — Bird Bear,G,Green,"Trample\nKeen Senses — When this creature enters, draw a card.",,,4,4
Silverback Shaman,5,Creature — Ape Shaman,G,Green,"Trample\nWhen this creature dies, draw a card.",,,5,4
Generous Ent,6,Creature — Treefolk,G,Green,"Reach\nWhen this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")\nForestcycling {1} ({1}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)",,,5,7
Greater Tanuki,6,Enchantment Creature — Dog,G,Green,"Trample\nChannel — {2}{G}, Discard this card: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",,,6,5
Hooting Mandrills,6,Creature — Ape,G,Green,Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)\nTrample,,,4,4
Annoyed Altisaur,7,Creature — Dinosaur,G,Green,"Reach, trample\nCascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)",,,6,5
Bramble Wurm,7,Creature — Wurm,G,Green,"Reach, trample\nWhen this creature enters, you gain 5 life.\n{2}{G}, Exile this card from your graveyard: You gain 5 life.",,,7,6
Krosan Tusker,7,Creature — Boar Beast,G,Green,"Cycling {2}{G} ({2}{G}, Discard this card: Draw a card.)\nWhen you cycle this card, you may search your library for a basic land card, reveal that card, put it into your hand, then shuffle. (Do this before you draw.)",,,6,5
Giant Growth,1,Instant,G,Green,Target creature gets +3/+3 until end of turn.,,,,
Massive Might,1,Instant,G,Green,Target creature gets +2/+2 and gains trample until end of turn.,,,,
Snakeskin Veil,1,Instant,G,Green,Put a +1/+1 counter on target creature you control. It gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),,,,
Tamiyo's Safekeeping,1,Instant,G,Green,"Target permanent you control gains hexproof and indestructible until end of turn. You gain 2 life. (A permanent with hexproof and indestructible can't be the target of spells or abilities your opponents control. Damage and effects that say ""destroy"" don't destroy it.)",,,,
Vines of Vastwood,1,Instant,G,Green,"Kicker {G} (You may pay an additional {G} as you cast this spell.)\nTarget creature can't be the target of spells or abilities your opponents control this turn. If this spell was kicked, that creature gets +4/+4 until end of turn.",,,,
Grapple with the Past,2,Instant,G,Green,"Mill three cards, then you may return a creature or land card from your graveyard to your hand. (To mill three cards, put the top three cards of your library into your graveyard.)",,,,
Ram Through,2,Instant,G,Green,"Target creature you control deals damage equal to its power to target creature you don't control. If the creature you control has trample, excess damage is dealt to that creature's controller instead.",,,,
Sprout Swarm,2,Instant,G,Green,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nBuyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)\nCreate a 1/1 green Saproling creature token.",,,,
Pulse of Murasa,3,Instant,G,Green,Return target creature or land card from a graveyard to its owner's hand. You gain 6 life.,,,,
Abundant Harvest,1,Sorcery,G,Green,Choose land or nonland. Reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and the rest on the bottom of your library in a random order.,,,,
Bushwhack,1,Sorcery,G,Green,"Choose one —\n• Search your library for a basic land card, reveal it, put it into your hand, then shuffle.\n• Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)",,,,
Horrific Assault,1,Sorcery,G,Green,"Target creature you control deals damage equal to its power to target creature or planeswalker you don't control. If you control an Eldrazi, you gain 3 life.",,,,
Longstalk Brawl,1,Sorcery,G,Green,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)\nChoose target creature you control and target creature you don't control. Put a +1/+1 counter on the creature you control if the gift was promised. Then those creatures fight each other.",,,,
Farseek,2,Sorcery,G,Green,"Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.",,,,
Malevolent Rumble,2,Sorcery,G,Green,"Reveal the top four cards of your library. You may put a permanent card from among them into your hand. Put the rest into your graveyard. Create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this token: Add {C}.""",,,,
Monstrous Emergence,2,Sorcery,G,Green,"As an additional cost to cast this spell, choose a creature you control or reveal a creature card from your hand.\nMonstrous Emergence deals damage equal to the power of the creature you chose or the card you revealed to target creature.",,,,
Nature's Lore,2,Sorcery,G,Green,"Search your library for a Forest card, put that card onto the battlefield, then shuffle.",,,,
Winding Way,2,Sorcery,G,Green,Choose creature or land. Reveal the top four cards of your library. Put all cards of the chosen type revealed this way into your hand and the rest into your graveyard.,,,,
Lead the Stampede,3,Sorcery,G,Green,Look at the top five cards of your library. You may reveal any number of creature cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in any order.,,,,
Trumpeting Herd,4,Sorcery,G,Green,"Create a 3/3 green Elephant creature token.\nRebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",,,,
You Meet in a Tavern,4,Sorcery,G,Green,Choose one —\n• Form a Party — Look at the top five cards of your library. You may reveal any number of creature cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order.\n• Start a Brawl — Creatures you control get +2/+2 until end of turn.,,,,
Colossal Dreadmask,6,Artifact — Equipment,G,Green,"Living weapon (When this Equipment enters, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)\nEquipped creature gets +6/+6 and has trample.\nEquip {3}{G}{G}",,,,
Rancor,1,Enchantment — Aura,G,Green,"Enchant creature\nEnchanted creature gets +2/+0 and has trample.\nWhen this Aura is put into a graveyard from the battlefield, return it to its owner's hand.",,,,
Utopia Sprawl,1,Enchantment — Aura,G,Green,"Enchant Forest\nAs this Aura enters, choose a color.\nWhenever enchanted Forest is tapped for mana, its controller adds an additional one mana of the chosen color.",,,,
Wild Growth,1,Enchantment — Aura,G,Green,"Enchant land\nWhenever enchanted land is tapped for mana, its controller adds an additional {G}.",,,,
Fertile Ground,2,Enchantment — Aura,G,Green,"Enchant land\nWhenever enchanted land is tapped for mana, its controller adds an additional one mana of any color.",,,,
Hickory Woodlot,0,Land,,Lands,"This land enters tapped with two depletion counters on it.\n{T}, Remove a depletion counter from this land: Add {G}{G}. If there are no depletion counters on this land, sacrifice it.",,,,
Gingerbrute,1,Artifact Creature — Food Golem,,Colorless,"Haste (This creature can attack and {T} as soon as it comes under your control.)\n{1}: This creature can't be blocked this turn except by creatures with haste.\n{2}, {T}, Sacrifice this creature: You gain 3 life.",,,1,1
