Name,Set,Collector Number,Rarity,Color Identity,Type,Mana Cost,CMC,Power,Toughness,Tags
Mutagenic Growth,Mixed,,common,,Instant,,0,,,Gruul Aggro/Beatdown
Harried Spearguard,Mixed,,common,R,Creature - Human Soldier,,1,,,Izzet Control
Blessed Hippogriff,Mixed,,common,W,Creature - Hippogriff,,4,,,Orzhov Control
Lightning Bolt,Mixed,,common,R,Instant,,1,,,Red Burn
Gingerbrute,Mixed,,common,,Artifact Creature - Food Golem,,1,,,Red Aggro
Guardian Idol,Mixed,,common,,Artifact,,2,,,Red Artifacts
Rift Bolt,Mixed,,common,R,Sorcery,,3,,,Red Burn
Writhing Chrysalis,Mixed,,common,,Creature - Eldrazi Drone,,4,,,Gruul Aggro/Beatdown
Gitaxian Probe,Mixed,,common,,Sorcery,,0,,,Simic Control
Boros Elite,Mixed,,common,W,Creature - Human Soldier,,1,,,White Aggro
Borrowed Grace,Mixed,,common,W,Instant,,3,,,White Control
Greatsword of Tyr,Mixed,,common,W,Artifact - Equipment,,2,,,White Equipment
Raise the Alarm,Mixed,,common,W,Creature Instant,,2,,,White Tokens
Shardless Outlander,Mixed,,common,,Artifact Creature - Construct Scout,,7,,,Red Artifacts
Candy Trail,Mixed,,common,,Artifact - Food Clue,,1,,,Blue Card Draw
Haunted Fengraf,Mixed,,common,Lands,Land,,0,,,Black Graveyard
Iron Apprentice,Mixed,,common,,Artifact Creature - Construct,,1,,,Red Artifacts
Scrapwork Mutt,Mixed,,common,,Artifact Creature - Dog,,2,,,Red Artifacts
Triplicate Spirits,Mixed,,common,W,Creature Sorcery,,6,,,White Tokens
Imperial Oath,Mixed,,common,W,Creature Sorcery,,6,,,White Tokens
Filigree Familiar,Mixed,,common,,Artifact Creature - Fox,,3,,,Black Sacrifice
Leonin Bola,Mixed,,common,,Artifact - Equipment,,1,,,White Equipment
Mist Raven,Mixed,,common,U,Creature - Bird,,4,,,Blue Flying
Mistral Singer,Mixed,,common,U,Creature - Siren,,3,,,Blue Flying
Bubble Snare,Mixed,,common,U,Enchantment - Aura,,1,,,Blue Tempo
Prophetic Prism,Mixed,,common,,Artifact,,2,,,Blue Tempo
Pestilence,Mixed,,common,B,Enchantment,,4,,,Black Graveyard
Giant Growth,Mixed,,common,G,Instant,,1,,,Green Stompy
Ulamog's Crusher,Mixed,,common,,Creature - Eldrazi,,8,,,Gruul Aggro/Beatdown
Goblin Bushwhacker,Mixed,,common,R,Creature - Goblin Warrior,,2,,,Red Burn
Vault Skirge,Mixed,,common,,Artifact Creature - Imp,,1,,,Black Aggro
Utopia Sprawl,Mixed,,common,G,Enchantment - Aura,,1,,,Green Ramp
Malevolent Rumble,Mixed,,common,G,Sorcery,,2,,,Green Ramp
Perilous Myr,Mixed,,common,,Artifact Creature - Myr,,2,,,Black Sacrifice
Wayfarer's Bauble,Mixed,,common,,Artifact,,1,,,Green Big Creatures
Silverback Shaman,Mixed,,common,G,Creature - Ape Shaman,,5,,,Green Big Creatures
Juggernaut,Mixed,,common,,Artifact Creature - Juggernaut,,4,,,Green Big Creatures
Deftblade Elite,Mixed,,common,W,Creature - Human Soldier,,1,,,White Tokens
Mocking Sprite,Mixed,,common,U,Creature - Faerie Rogue,,3,,,Blue Flying
Elite Vanguard,Mixed,,common,W,Creature - Human Soldier,,1,,,White Tokens
Mind Stone,Mixed,,common,,Artifact,,2,,,Black Graveyard
Nyxborn Hydra,Mixed,,common,G,Enchantment Creature - Hydra,,1,,,Green Stompy
Goblin Surprise,Mixed,,common,R,Instant,,3,,,Red Small Creatures
Porcelain Legionnaire,Mixed,,common,,Artifact Creature - Soldier,,2,,,Boros Aggro/Beatdown
Bonder's Ornament,Mixed,,common,,Artifact,,3,,,Izzet Control
Pristine Talisman,Mixed,,common,,Artifact,,3,,,Red Artifacts
Serrated Arrows,Mixed,,common,,Artifact,,4,,,Red Artifacts
Striped Riverwinder,Mixed,,common,U,Creature - Serpent,,7,,,Blue Card Draw
Prismatic Strands,Mixed,,common,W,Instant,,3,,,White Control
Lose Focus,Mixed,,common,U,Instant,,2,,,Blue Control
Jade Avenger,Mixed,,common,G,Creature - Frog Samurai,,2,,,Green Stompy
